type,name,MSB,LSB,PC
Piano,Acoustic Grand Piano,121,0,0
Piano,Wide Acoustic Grand,121,1,0
Piano,Dark Acoustic Grand,121,2,0
Piano,Tine Acoustic Grand,121,3,0
Piano,Acoustic KSP Piano,121,4,0
Piano,Piano Strings,121,5,0
Piano,Dream,121,6,0
Piano,Bright Acoustic Piano,121,0,1
Piano,Wide Bright Acoustic,121,1,1
Piano,Brite + Grand,121,2,1
Piano,Brite KSP,121,3,1
Piano,Electric Piano,121,0,2
Piano,CP 80,121,1,2
Piano,Radio Piano,121,2,2
Piano,Claxia,121,3,2
Piano,Electric KSP Piano,121,4,2
Piano,Detuned CP 80,121,5,2
Piano,Broken Pub Piano,121,0,3
Piano,Wide Broken Pub,121,1,3
Piano,Tine Pub,121,2,3
Piano,Pub KSP,121,3,3
Piano,Tine Electric Piano,121,0,4
Piano,Detuned Electric Piano 1,121,1,4
Piano,Electric Piano 1 Variation,121,2,4
Piano,60's Electric Piano,121,3,4
Piano,Cool Galaxy,121,4,4
Piano,Tine KSP,121,5,4
Piano,Hyper Tine,121,6,4
Piano,Synth Electric Piano,121,0,5
Piano,Detuned Electric Piano 2,121,1,5
Piano,Electric Piano 2 Variation,121,2,5
Piano,Electric Piano Legend,121,3,5
Piano,Electric Piano Phase,121,4,5
Piano,Sm. Piano Variation Phase,121,5,5
Piano,Synth + Analog Phase,121,6,5
Piano,Synth KSP,121,7,5
Piano,Venus E.P,121,8,5
Piano,Harpsichord,121,0,6
Piano,Coupled Harpsichord,121,1,6
Piano,Wide Harpsichord,121,2,6
Piano,Open Harpsichord,121,3,6
Piano,Farxiga,121,4,6
Piano,Harpsichord 2,121,5,6
Piano,Harpsichord KSP,121,6,6
Piano,Clavinet,121,0,7
Piano,Pulse Clavinet,121,1,7
Piano,Harpsichord + Clavinet,121,2,7
Piano,Solarize,121,3,7
Piano,Clavinet KSP,121,4,7
