type,name,MSB,LSB,PC
Sound Effect,Guitar Fret Noise,121,0,120
Sound Effect,Guitar Cut Noise,121,1,120
Sound Effect,String Slap,121,2,120
Sound Effect,Guitar Cut Noise 2,121,3,120
Sound Effect,Breath Noise,121,0,121
Sound Effect,Flute Key Click,121,1,121
Sound Effect,Seashore,121,0,122
Sound Effect,Rain,121,1,122
Sound Effect,Thunder,121,2,122
Sound Effect,Wind,121,3,122
Sound Effect,Stream,121,4,122
Sound Effect,Bubble,121,5,122
Sound Effect,Feed,121,6,122
Sound Effect,Bird,121,0,123
Sound Effect,Dog,121,1,123
Sound Effect,Horse-Gallop,121,2,123
Sound Effect,Bird 2,121,3,123
Sound Effect,Horse-Whinny,121,4,123
Sound Effect,Maou,121,5,123
Sound Effect,Cow,121,6,123
Sound Effect,Snake Hiss,121,7,123
Sound Effect,Chicken Cluck,121,8,123
Sound Effect,Rooster Crow,121,9,123
Sound Effect,Telephone 1,121,0,124
Sound Effect,Telephone 2,121,1,124
Sound Effect,Door Creaking,121,2,124
Sound Effect,Door Closing,121,3,124
Sound Effect,Scratch,121,4,124
Sound Effect,Wind Chimes,121,5,124
Sound Effect,Phone Call,121,6,124
Sound Effect,Scratch 2,121,7,124
Sound Effect,Clock Tick,121,8,124
Sound Effect,Helicopter,121,0,125
Sound Effect,Car-Engine,121,1,125
Sound Effect,Car-Stop,121,2,125
Sound Effect,Car-Pass,121,3,125
Sound Effect,Car-Crash,121,4,125
Sound Effect,Siren,121,5,125
Sound Effect,Train,121,6,125
Sound Effect,Jetplane,121,7,125
Sound Effect,Starship,121,8,125
Sound Effect,Burst Noise,121,9,125
Sound Effect,Rollercoaster,121,10,125
Sound Effect,Submarine,121,11,125
Sound Effect,Boat,121,12,125
Sound Effect,Applause,121,0,126
Sound Effect,Laughing,121,1,126
Sound Effect,Screaming,121,2,126
Sound Effect,Punch,121,3,126
Sound Effect,Heart Beat,121,4,126
Sound Effect,Footsteps,121,5,126
Sound Effect,Slap,121,6,126
Sound Effect,Burping,121,7,126
Sound Effect,Farting,121,8,126
Sound Effect,Gun Shot,121,0,127
Sound Effect,Machine Gun,121,1,127
Sound Effect,Lasergun,121,2,127
Sound Effect,Minigun,121,3,127
Sound Effect,Bazooka,121,4,127
Sound Effect,Tank,121,5,127
Sound Effect,Explosion,121,6,127
Sound Effect,Firework,121,7,127
