type,name,MSB,LSB,PC
Synth Sound FX,Ice Rain,121,0,96
Synth Sound FX,Clavi Pad,121,1,96
Synth Sound FX,Shanaaz,121,2,96
Synth Sound FX,African Wind,121,3,96
Synth Sound FX,Carib,121,4,96
Synth Sound FX,Soundtrack,121,0,97
Synth Sound FX,Prolouge,121,1,97
Synth Sound FX,Empilouge,121,2,97
Synth Sound FX,Stardust,121,0,98
Synth Sound FX,Synth Mallet,121,1,98
Synth Sound FX,Synth Drum Comp,121,2,98
Synth Sound FX,Popcorn,121,3,98
Synth Sound FX,Tiny Bell,121,4,98
Synth Sound FX,Rind Glock,121,5,98
Synth Sound FX,Glock Chime,121,6,98
Synth Sound FX,Clear Bell,121,7,98
Synth Sound FX,Choir Bell,121,8,98
Synth Sound FX,Soft Crystal,121,9,98
Synth Sound FX,Air Bells,121,10,98
Synth Sound FX,Bell Harp,121,11,98
Synth Sound FX,Gamelmba,121,12,98
Synth Sound FX,Atmosphere,121,0,99
Synth Sound FX,Warm Atmosphere,121,1,99
Synth Sound FX,Hollow Relics,121,2,99
Synth Sound FX,Nylon EP,121,3,99
Synth Sound FX,Nylon Harp,121,4,99
Synth Sound FX,Harp Vox,121,5,99
Synth Sound FX,Atmosphere Pad,121,6,99
Synth Sound FX,Brightness,121,0,100
Synth Sound FX,Bomb,121,1,100
Synth Sound FX,Goblin,121,0,101
Synth Sound FX,Goblin Synth,121,1,101
Synth Sound FX,Creeper,121,2,101
Synth Sound FX,Ritual,121,3,101
Synth Sound FX,To Heaven,121,4,101
Synth Sound FX,Night,121,5,101
Synth Sound FX,Glisten,121,6,101
Synth Sound FX,Bell Choir,121,7,101
Synth Sound FX,Echo Drops,121,0,102
Synth Sound FX,Echo Bell,121,1,102
Synth Sound FX,Echo Pan,121,2,102
Synth Sound FX,Poly Drop,121,3,102
Synth Sound FX,Star Theme,121,0,103
Synth Sound FX,Space Synth,121,1,103
